shot,target_id,target_label,L0,Lm,Lnm,delta_m,delta_nm,tau,embedding_model,prefix_ratio,sample_count_limit,cache_path
7,7627b0b4093bf68a1dff76c7236a4fa2685a8472c1c1b37a11a07fd5168ad27b,0,-65.8313575219,-62.6358337833,-62.3731060063,3.19552373855,3.45825151554,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,dc83d27b4bb354fe5d9d12b438652e5efbe1b7b8bc028458fd6bd306b4a12d27,1,-54.5459696421,-48.9375581265,-52.4993688102,5.60841151562,2.04660083191,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,24e66d8fc6b235b2a83d59ab7fb5945f5b1dab9195185f80f6a3f75f36a4a0e1,0,-55.5901925075,-57.8532675168,-55.4626003726,-2.26307500929,0.127592134871,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,2df63d1ef14c6c84258e0f9d7d4837f98ce11399db1c12f2f262cf816eb3eeb7,1,-76.6782058191,-75.3773693626,-80.1598497042,1.30083645654,-3.48164388506,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,7cf11d67e650cdebac11117b1d5ee3f0a33a562e9ec1ff4e8f5e1765c20a0bc2,0,-67.0941255421,-59.2111502799,-62.9697760977,7.88297526217,4.12434944438,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,22fc1ed41951d21508c3e1ba827fd31e8fc61c58ef19bfe79e6d9868a0ea8163,1,-47.6319754413,-43.7546881584,-47.5227362013,3.8772872829,0.109239240077,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,7a38bb91bb081c5736d6c39184a12effa7e136358551843a76f31fde555262d3,0,-41.167453645,-42.0064454602,-36.7491194882,-0.838991815266,4.41833415682,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,2f066c27130b440af889dcb33be34df7727cdeb09ff55eb2fcab34c091223eb7,1,-56.3847855417,-54.0991082373,-55.1064558821,2.28567730442,1.27832965966,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,2831b111474b7568ccc47d4e2aa0076329f1b68c0d9ea607f10ae1d50a02d44d,0,-58.3432412487,-57.6759846032,-54.7423704265,0.667256645514,3.60087082221,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,57e0bc54a761a19ebc74791591bf1c5ac5e3f037b90b17bf17690b09c8e89b2f,1,-50.292774621,-49.2459711762,-54.6464243181,1.04680344485,-4.35364969708,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,932fe4eea6c3b3049394f1d82c8f05bb78786dc37c9ea1d9d4f631dcdb1a7c23,0,-49.0957114714,-48.3846879331,-48.7668164582,0.711023538339,0.328895013268,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,d8ede27155c2f608519b3d67baa1c03407e4fc1108ae67d362838e4d33541b1c,1,-50.9382064477,-50.175469257,-52.4738630912,0.762737190693,-1.53565664344,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,fdd90acede9c141e8fb8b148ed7a6fdfa4c8ce2ab6b2e8ecbc06a8fa07ca3875,0,-46.8214720162,-46.7143737229,-45.3479167133,0.107098293311,1.47355530288,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,111bc4cb855414ab7270a048ecd2c7a853b86bb526e360fa8a8b8cbe4fdcf9a8,1,-58.2003169949,-51.5611380923,-57.0449913236,6.63917890266,1.15532567138,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,9f7cbd4e395127e357335a319482d428b3921fdf954bc31dc524515d55e9ee71,0,-49.6147450241,-49.1393093022,-40.276472604,0.47543572186,9.33827242008,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,f2839d6b0550f5a9dbffc4ce4027ee4ccb9778e764e8a8c25e8c5139b0532ff4,1,-54.4377058893,-47.5418688698,-49.6585948502,6.89583701948,4.77911103913,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,1a7f233fef84451a0a22435a0c8b8578142c7cd2f06ed788fb27c43679d30568,0,-49.6630399,-49.639025975,-49.4160596067,0.0240139250447,0.246980293311,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,f628e522c7895c95ba24079ec64de30bdd6ed7a42dfe1d64a7c55c5ad567b10c,1,-61.648127138,-56.6807146781,-64.3766661021,4.96741245997,-2.72853896403,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
7,7940f665f9531e702791d92b2c8dcae7b4640ffa8e2ea2624c70f90b6b3d4a7f,0,-68.9712108815,-63.3043077802,-60.6279932853,5.66690310127,8.34321759614,0.2,sentence-transformers/all-MiniLM-L6-v2,0.0,,ablation/WikiMIA/WikiMIA_length32/pythia-6.9b/7
